kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
K00620.02,CONFIRMED,130.17802962,8.4534,11570.9,10.44,4.31,367.0,0.022,365.2,6046.0,4.486,0.972,14.669
K00620.03,CONFIRMED,85.3162004,2.7441,1902.6,6.34,7.57,423.0,0.972,32.6,6046.0,4.486,0.972,14.669
K00621.01,CANDIDATE,17.761998411,2.4644,24176.9,14.25,19.78,538.0,0.907,731.7,5088.0,4.612,0.669,14.762
K00622.01,CANDIDATE,155.042265,9.848,4880.9,26.44,16.15,511.0,0.824,117.9,4994.0,3.509,3.322,14.932
K00623.01,CONFIRMED,10.34973276,4.4859,119.0,1.44,177.25,930.0,0.905,44.5,6003.0,4.303,1.109,11.811
K00672.01,CONFIRMED,16.08786246,3.095,612.5,2.56,47.17,668.0,0.824,63.7,5506.0,4.473,0.914,13.998
K07638.01,CANDIDATE,25.0032023,5.498,64.1,1.47,116.27,837.0,0.756,12.6,6148.0,4.055,1.685,12.55
K00672.02,CONFIRMED,41.74938613,5.6098,1055.4,2.94,13.22,486.0,0.226,95.0,5506.0,4.473,0.914,13.998
K00672.03,FALSE POSITIVE,0.56680081,3.6116,127.7,1.02,4065.92,2038.0,0.004,71.5,5506.0,4.473,0.914,13.998
K00673.01,CONFIRMED,4.41746257,2.965,291.0,3.95,2536.07,1810.0,0.085,22.6,6570.0,3.86,2.297,13.343
K00105.01,CONFIRMED,8.981014925,1.8478,1059.3,3.14,141.77,880.0,0.097,198.3,5666.0,4.362,0.967,12.87
K00674.01,CONFIRMED,16.33888067,9.3599,1718.4,10.47,203.31,963.0,0.256,201.9,4877.0,3.645,2.595,13.781
K07632.01,FALSE POSITIVE,39.1307086,2.295,201.0,1.54,30.75,600.0,0.013,7.4,6295.0,4.401,1.08,14.372
K00720.02,CONFIRMED,10.04157214,2.6577,1114.0,2.97,60.74,712.0,0.768,28.1,5244.0,4.538,0.81,13.749
